A_COMMENTS,CAPTION,CARDINALITY,CREATION_DATE,HINT,LAST_UPDATE,RELATION,SOURCE_CLASS,SOURCE_CLASS_CAPTION,TARGET_CLASS
,Attachments,N/N,12/15/2021 15:35,The documents or URLs that are attached to the object.,12/15/2021 15:35,Documents,GAI_DBConnection,Generic API Integration Database Connection,ALFA_IDOCUMENT
,Authorized User,1/N,12/15/2021 15:35,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:35,ResponsibleUser,GAI_DBConnection,Generic API Integration Database Connection,Person
,Authorized User Group,N/N,12/15/2021 15:35,The user groups who have access permissions to the object in EA_MM.,12/15/2021 15:35,ResponsibleUserGroups,GAI_DBConnection,Generic API Integration Database Connection,UserGroup
,Responsible Organization,1/N,12/15/2021 15:35,The organization that is responsible for the object.,12/15/2021 15:35,ResponsibleOrganization,GAI_DBConnection,Generic API Integration Database Connection,OrgaUnit
A reference to the configured report that the usage definition is applied to.,Configured Report,1/N,12/15/2021 15:35,A reference to the configured report that the usage definition is applied to.,6/26/2024 12:59,REPORT,ALFA_REPORTUSAGE,Report Usage,ALFA_REPORT
A reference to the license policy used when creating this object.,LIcense Policy,1/N,12/15/2021 15:35,,7/15/2024 16:05,ALFA_LICENSE_POLICY,GAI_DBConnection,Generic API Integration Database Connection,ALFA_LICENSE_DETAILS
A reference to the user creating the meeting.,Creator User,1/N,12/15/2021 15:35,A reference to the user creating the meeting.,6/26/2024 12:59,CreatorUser,TeamsMeeting,MS Teams Meeting,Person
A reference to the user that has created the object.,Creator Reference,1/N,12/15/2021 15:35,,7/15/2024 16:05,CREATION_USER_REF,GAI_DBConnection,Generic API Integration Database Connection,Person
Captures which users associated with the channel in EA_MM have seen the collaboration post.,Seen by Users,N/N,12/15/2021 15:35,Captures which users associated with the channel in EA_MM have seen the collaboration post.,6/26/2024 12:59,ReadByUsers,TeamsCollaborationPost,MS Teams Message,Person
The architecture object that the generic architecture connection references.,Architecture Element,1/N,12/15/2021 15:35,The architecture object that the generic architecture connection references.,6/26/2024 12:59,Object,GenericAffectedArch,Generic Architecture Connection,Artifact
The bookmarks associated with the MS Teams collaboration post.,MS Teams Collaboration Message Bookmarks,N/N,12/15/2021 15:35,The bookmarks associated with the MS Teams collaboration post.,6/26/2024 12:59,Bookmarks,TeamsCollaborationPost,MS Teams Message,ALFA_SHORTCUT
The business dimension object that the business dimension connection references.,Dimension,1/N,12/15/2021 15:35,The business dimension object that the business dimension connection references.,6/26/2024 12:59,Dimension,BFDimension,Business Dimemsion Connection,CustomerSegment
The business dimension object that the business dimension connection references.,Dimension,1/N,12/15/2021 15:35,The business dimension object that the business dimension connection references.,6/26/2024 12:59,Dimension,BFDimension,Business Dimemsion Connection,Brand
The business dimension object that the business dimension connection references.,Dimension,1/N,12/15/2021 15:35,The business dimension object that the business dimension connection references.,6/26/2024 12:59,Dimension,BFDimension,Business Dimemsion Connection,Market
The business dimension object that the business dimension connection references.,Dimension,1/N,12/15/2021 15:35,The business dimension object that the business dimension connection references.,6/26/2024 12:59,Dimension,BFDimension,Business Dimemsion Connection,SalesChannel
The business function referenced by the business dimension connection.,Owner,1/N,12/15/2021 15:35,The business function referenced by the business dimension connection.,6/6/2025 17:04,OWNER,BFDimension,Business Dimemsion Connection,BusinessService
The business function referenced by the business dimension connection.,Owner,1/N,12/15/2021 15:35,The business function referenced by the business dimension connection.,6/26/2024 12:59,OWNER,BFDimension,Business Dimemsion Connection,BusinessFunction
The business question groups the business question is associated with.,Business Question Groups,N/N,12/15/2021 15:35,The business question groups the business question is associated with.,6/26/2024 12:59,Groups,BusinessQuestion,Business Question,BusinessQuestionGroup
The business questions associated with the business question group.,Business Questions,N/N,12/15/2021 15:35,The business questions associated with the business question group.,6/26/2024 12:59,BusinessQuestions,BusinessQuestionGroup,BusinessQuestionGroup,BusinessQuestion
The configured report used to determine the projects for which costs shall be captured.,Project Report,1/N,12/15/2021 15:35,The configured report used to determine the projects for which costs shall be captured.,6/26/2024 12:59,ProjectReport,ALFA_DATACAPTURETEMPLATE,Data Capture Template,ALFA_REPORT
The contract that precedes a contract.,Predecessor Contract,1/N,12/15/2021 15:35,The contract that came before this contract.,6/26/2024 12:59,Predecessor,Contract,Contract,Contract
The integration connection details object this integration connection detail further specifies.,Parent Integration Connection Details,1/N,12/15/2021 15:35,The integration connection details object this integration connection detail further specifies.,6/26/2024 12:59,BELONGSTO,IntegrationConnectionDetails,Integration Connection Detail,IntegrationConnectionDetails
The integration connection details subordinate to this integration connection detail.,Subordinate Integration Connection Details,N/1,12/15/2021 15:35,The integration connection details subordinate to this integration connection detail.,6/26/2024 12:59,ConsistsOf,IntegrationConnectionDetails,Integration Connection Detail,IntegrationConnectionDetails
The license policy that was used to grant the user access for the last login.,LIcense Policy,1/N,12/15/2021 15:35,The license policy that was used to grant the user access for the last login.,6/26/2024 12:59,ALFA_LICENSE_POLICY,ALFA_ANONYMOUSLOGIN_DETAIL,Anonymous Login Detail,ALFA_LICENSE_DETAILS
The MS Teams channel connection that the MS Teams collaboration post is associated with.,MS Teams Channel Connection,1/N,12/15/2021 15:35,The MS Teams channel connection that the MS Teams collaboration post is associated with.,6/26/2024 12:59,Collaboration,TeamsCollaborationPost,MS Teams Message,TeamsCollaboration
The object affected by the value node referenced by the value node architecture connection.,Object,1/N,12/15/2021 15:35,The object affected by the value node referenced by the value node architecture connection.,6/26/2024 12:59,Object,ValueNodeArch,Value Node Architecture Connection,Location
The object in EA_MM that the meeting is associated with.,Object,1/N,12/15/2021 15:35,The object in EA_MM that the meeting is associated with.,6/26/2024 12:59,Artifact,TeamsMeeting,MS Teams Meeting,Artifact
The object referenced by the generic architecture connection.,Owner,1/N,12/15/2021 15:35,The object referenced by the generic architecture connection.,6/26/2024 12:59,OWNER,GenericAffectedArch,Generic Architecture Connection,Artifact
The reference to the abstract property that is the placeholder for properties available for all objects of a class and defined via the respective class configuration.,Base Attribute,1/N,12/15/2021 15:35,The reference to the abstract property that is the placeholder for properties available for all objects of a class and defined via the respective class configuration.,6/26/2024 12:59,Base,IntegrationConnectionDetails,Integration Connection Detail,IntegrationConnectionDetails
The reference to the generic OAS integration object that the property describes.,Owner,1/N,12/15/2021 15:35,The reference to the generic OAS integration object that the property describes.,6/26/2024 12:59,OWNER,IntegrationConnectionDetails,Integration Connection Detail,GAI_DBConnection
The reference to the information about the object class in the ALFA_MM_CLASS_INFO table that the audit key is defined for.,Class Reference,1/N,12/15/2021 15:35,The reference to the information about the object class in the ALFA_MM_CLASS_INFO table that the audit key is defined for.,6/26/2024 12:59,CLASS_REF,ALFA_MM_AUDITKEY_INFO,EA_MM Meta-Model - Audit Key - Information,ALFA_MM_CLASS_INFO
The reference to the information about the object class in the ALFA_MM_CLASS_INFO table that the class key is defined for.,Class Reference,1/N,12/15/2021 15:35,The reference to the information about the object class in the ALFA_MM_CLASS_INFO table that the class key is defined for.,6/26/2024 12:59,CLASS_REF,ALFA_MM_CLASSKEY_INFO,EA_MM Meta-Model - Class Key - Information,ALFA_MM_CLASS_INFO
The reference to the MS Teams meeting.,MS Teams Meeting Reference,1/N,12/15/2021 15:35,The reference to the MS Teams meeting.,6/26/2024 12:59,A_REF,TeamsMeetingAttendees,MS Teams Meeting Invitees,TeamsMeeting
The resource bundle set the generic OAS integration is associated with.,OAS Resource Bundle Set,1/N,12/15/2021 15:35,The resource bundle set the generic OAS integration is associated with.,6/26/2024 12:59,OASResourceBundleSet,GAI_DBConnection,Generic API Integration Database Connection,ALFA_RESOURCE_BUNDLES
The risk mitigation/risk mitigation template that the architecture element is assigned to.,Owner,1/N,12/15/2021 15:35,The risk mitigation/risk mitigation template that the architecture element is assigned to.,6/26/2024 12:59,OWNER,AffectedArch,Risk Mitigation Architecture Connection,RiskMitigation
The risk mitigation/risk mitigation template that the architecture element is assigned to.,Owner,1/N,12/15/2021 15:35,The risk mitigation/risk mitigation template that the architecture element is assigned to.,6/26/2024 12:59,OWNER,AffectedArch,Risk Mitigation Architecture Connection,RiskMitigationTemplate
The user creating the collaboration post.,Posting User,1/N,12/15/2021 15:35,The user creating the collaboration post.,6/26/2024 12:59,PostUser,TeamsCollaborationPost,MS Teams Message,Person
The user owning the MS Teams channel connection.,MS Teams Channel Connection Owner,1/N,12/15/2021 15:35,The user owning the MS Teams channel connection.,6/26/2024 12:59,OWNER,TeamsCollaboration,MS Teams Channel Connection,Person
The users invited to participate in the MS Teams channel.,MS Teams Collaboration Participants,N/N,12/15/2021 15:35,The users invited to participate in the MS Teams channel.,6/26/2024 12:59,Users,TeamsCollaboration,MS Teams Channel Connection,Person
This property is currently not used.,Parent MS Teams Collaboration,1/N,12/15/2021 15:35,This property is currently not used.,6/26/2024 12:59,PARENT,TeamsCollaboration,MS Teams Channel Connection,TeamsCollaboration
"This property provides a reference to the person, user group or user profile the report usage record is defined for.",Owner,1/N,12/15/2021 15:35,"This property provides a reference to the person, user group or user profile the report usage record is defined for.",6/26/2024 12:59,OWNER,ALFA_REPORTUSAGE,Report Usage,Person
"This property provides a reference to the person, user group or user profile the report usage record is defined for.",Owner,1/N,12/15/2021 15:35,"This property provides a reference to the person, user group or user profile the report usage record is defined for.",6/26/2024 12:59,OWNER,ALFA_REPORTUSAGE,Report Usage,UserGroup
"This property provides a reference to the person, user group or user profile the report usage record is defined for.",Owner,1/N,12/15/2021 15:35,"This property provides a reference to the person, user group or user profile the report usage record is defined for.",6/26/2024 12:59,OWNER,ALFA_REPORTUSAGE,Report Usage,ALFA_USERPROFILE
,,1/N,12/15/2021 15:39,,2/13/2024 13:09,EA_MM__PROJECTGROUP,UserGlobalData,User Global Data,ProjectGroup
,,1/N,12/15/2021 15:39,,2/13/2024 13:09,EA_MM__COMPONENTOWNER,UserGlobalData,User Global Data,OrgaUnit
,Application,1/N,12/15/2021 15:39,,12/15/2021 15:39,EA_MM__APPLICATION,UserGlobalData,User Global Data,Application
,Application Diagrams,N/1,12/15/2021 15:39,The standard diagrams available for the business data.,12/15/2021 15:39,Diagrams,BusinessData,Business Data,CustomApplicationDiagram
,Application Diagrams,N/1,12/15/2021 15:39,The standard diagrams available for the business data.,12/15/2021 15:39,Diagrams,BusinessData,Business Data,ApplicationDiagram
,Application Group,1/N,12/15/2021 15:39,,12/15/2021 15:39,EA_MM__APPLICATIONGROUP,UserGlobalData,User Global Data,ApplicationGroup
,Aspect,1/N,12/15/2021 15:39,The aspect evaluation that the indicator references.,6/26/2024 12:59,Aspect,ComplianceIndicator,Compliance Indicator,SEMANTICCLASS
,Aspect,1/N,12/15/2021 15:39,The aspect evaluation that the indicator references.,6/26/2024 12:59,Aspect,Indicator,Indicator,SEMANTICCLASS
,Aspect,1/N,12/15/2021 15:39,The aspect evaluation that the indicator references.,6/26/2024 12:59,Aspect,AspectIndicator,Aspect Indicator,SEMANTICCLASS
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFAssociation,Association,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFActivity,Activity,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFFlow,Flow,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFServiceActivity,Service Activity,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFEvent,Event,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFGateway,Gateway,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFSequenceFlow,Sequence Flow,BusinessProcessServiceDiagram
,Associated Service Diagram,1/N,12/15/2021 15:39,The diagram that the object links to.,12/15/2021 15:39,NavigationDiagram,BFMessageFlow,Message Flow,BusinessProcessServiceDiagram
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,CentraSite_DBConnection,CentraSite Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:35,Documents,GenericREST_DBConnection,Generic REST API Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,webMethodsIS_DBConnection,webMethods IS Integration Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,MicrosoftProjectPlan_Mappings,MS Project Methodology,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,EA_MM_DBConnection,EA_MM Database Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,ARIS_DBConnection,ARIS Database Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,APIPortal_DBConnection,API Portal Data Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,EA_MMLocalDatasetsConnection,Analytics Dashboard Data Provider,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,AzureDevOps_DBConnection,Azure DevOps Database Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,JIRA_DBConnection,JIRA Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,Apptio_DBConnection,Apptio Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,APIGateway_DBConnection,API Gateway Data Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,Apigee_DBConnection,Apigee Data Connection,ALFA_IDOCUMENT
,Attachments,N/N,12/15/2021 15:39,The documents or URLs that are attached to the object.,12/15/2021 15:39,Documents,webMethodsTN_DBConnection,webMethods Trading Networks Connection,ALFA_IDOCUMENT
,Authorized User,1/N,12/15/2021 15:39,The authorized user for the report.,12/15/2021 15:39,ResponsibleUser,ALFA_REPORT,Report,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,Apigee_DBConnection,Apigee Data Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,JIRA_DBConnection,JIRA Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:35,ResponsibleUser,GenericREST_DBConnection,Generic REST API Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,APIGateway_DBConnection,API Gateway Data Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,CentraSite_DBConnection,CentraSite Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,webMethodsTN_DBConnection,webMethods Trading Networks Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,AzureDevOps_DBConnection,Azure DevOps Database Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,EA_MM_DBConnection,EA_MM Database Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,ARIS_DBConnection,ARIS Database Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,APIPortal_DBConnection,API Portal Data Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,MicrosoftProjectPlan_Mappings,MS Project Methodology,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,Apptio_DBConnection,Apptio Connection,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,EA_MMLocalDatasetsConnection,Analytics Dashboard Data Provider,Person
,Authorized User,1/N,12/15/2021 15:39,The user who owns the object and is responsible for the maintenance of the object in EA_MM.,12/15/2021 15:39,ResponsibleUser,webMethodsIS_DBConnection,webMethods IS Integration Connection,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,MarketProduct,Market Product,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,SolutionBusinessData,Solution Business Data,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,BusinessSupport,Operational Business Support,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,CostCentre,Cost Center,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Domain,Domain,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITCapability,IT Capability,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,OrganizationGroup,Organization Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Market,Market,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,SolutionComponent,Solution Component,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,PeripheralGroup,Peripheral Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITSolutionMap,Solution Map,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ComponentCatalogElement,Component Catalog Element,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,VirtualOrgaUnit,Virtual Organization,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,BusinessProcessModel,Business Process Model,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,NetworkRoute,Network Route,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,EnterpriseRelease,Enterprise Release,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITPolicyGroup,Policy Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ThreatGroup,Threat Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,InformationFlow,Information Flow,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ICTObjectGroup,ICT Object Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,RequestICTO,ICT Object Request,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITStrategyMap,IT Strategy Map,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,MasterPlatformCategory,Master Platform Category,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,RiskGroup,Risk Management Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Device,Device,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,DevExpressDashboard,Analytics Dashboard,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,BusinessProcessGroup,Business Process Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,MarketProductGroup,Market Product Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,StandardPlatform,Standard Platform,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,PlatformLayer,Platform Layer,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ApplicationGroup,Application Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITCapabilityMap,Technology Support Map,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ProjectGroup,Project Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Location,Location,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITPolicy,Policy,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,DeviceGroup,Device Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ComplianceDomain,Compliance Domain,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ValueStream,Value Stream,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,SolutionFunctionalModule,Solution Functional Module,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,10/17/2024 17:02,ResponsibleUser,ServiceProduct,Service,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,VendorProductGroup,Vendor Product Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,TechnologyGroup,Technology Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Project,Project,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Feature,Feature,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ValueStreamGroup,Value Stream Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ServiceContractTemplate,Service Contract Template,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,FrameworkGroup,Framework Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ICTObjectCategory,ICT Object Category,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,SolutionStandardPlatform,Solution Standard Platform,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,SolutionInformationFlow,Solution Information Flow,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,SolutionDevice,Solution Device,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ComponentCategory,Component Category,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ComplianceControlSetInstance,Compliance Project,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,11/28/2024 8:09,ResponsibleUser,BusinessObjectCategory,Business Object Category,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ITMasterPlan,Master Plan,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,MigrationGroup,Migration Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Demand,Demand,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,VendorGroup,Vendor Group,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,BusinessData,Business Data,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Network,Network,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Component,Component,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,ComponentTest,Component Test,Person
,Authorized User,1/N,12/15/2021 15:39,This person is typically the owner and is responsible for maintaining the data.,7/15/2024 16:05,ResponsibleUser,Vendor,Vendor,Person
