A_COMMENTS,CAPTION,CARDINALITY,CREATION_DATE,HINT,LAST_UPDATE,RELATION,SOURCE_CLASS,SOURCE_CLASS_CAPTION,TARGET_CLASS
The business process requesting the solution business service or the solution object providing the solution business service. This will be the same as the provider or a local component of the provider.This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process requesting the solution business service or the solution object providing the solution business service. This will be the same as the provider or a local component of the provider. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/26/2024 12:59,Object,SolutionBusinessService,Solution Business Service,SolutionLocalComponent
The business process that is referenced by the business process model filter item.,Business Process,1/N,12/15/2021 15:39,The business process that is referenced by the business process model filter item.,6/26/2024 12:59,BProcess,BPMFilterItem,Business Process Model Filter Item,BusinessProcess
The business process that the business process gap is defined for.,Business Process,1/N,12/15/2021 15:39,The business process that the business process gap is defined for.,6/26/2024 12:59,Process,ProcessGap,Business Process Gap,BusinessProcess
The business process that the business process gap is defined for.,Business Process,1/N,12/15/2021 15:39,The business process that the business process gap is defined for.,6/26/2024 12:59,Process,ProcessGap,Business Process Gap,BusinessProcessVariant
The business process that the business process variant is derived from.,Variant Of,1/N,12/15/2021 15:39,The business process that the business process variant is derived from.,6/26/2024 12:59,VariantOf,BusinessProcessVariant,Business Process Variant,BusinessProcess
The business process that the solution business process is based on,Base Business Process,1/N,12/15/2021 15:39,The business process that the solution business process is based on,6/26/2024 12:59,Base,SolutionBusinessProcess,Solution Business Process,BusinessProcess
The business process that the value stream step references.,Business Process,1/N,12/15/2021 15:39,The business process that the value stream step references.,6/26/2024 12:59,BusinessProcess,ValueStreamStep,Value Stream Step,BusinessProcess
The business process that this business process version is based on.,Version Of,1/N,12/15/2021 15:39,The business process that this business process version is based on.,6/26/2024 12:59,VersionOf,BusinessProcessVersion,Business Process Version,BusinessProcess
The business process to display in the Business Process/Domain Aspect Analysis page view.,Aspect Business Process,1/N,12/15/2021 15:39,The business process to display in the Business Process/Domain Aspect Analysis page view.,6/26/2024 12:59,AspectBusinessProcess,ITMapView,Map View,BusinessProcess
The business process variant to be used for the business process if specified via the business process model filter.,Business Process Variant,1/N,12/15/2021 15:39,The business process variant to be used for the business process if specified via the business process model filter.,6/26/2024 12:59,Variant,BPMFilterItem,Business Process Model Filter Item,BusinessProcessVariant
The business process version of the business process that is proposed to be supported by the tactical business support.,Business Process Version,1/N,12/15/2021 15:39,The business process version of the business process that is proposed to be supported by the tactical business support.,6/26/2024 12:59,BPVersion,TacticalBusinessSupport,Tactical Business Support,BusinessProcessVersion
The business process version of the business process that is supported by the business support.,Business Process Version,1/N,12/15/2021 15:39,The business process version of the business process that is supported by the business support.,6/26/2024 12:59,BPVersion,BusinessSupport,Operational Business Support,BusinessProcessVersion
The business process version of the business process that is supported by the business support.,Business Process Version,1/N,12/15/2021 15:39,The business process version of the business process that is supported by the business support.,6/26/2024 12:59,BPVersion,SolutionBusinessSupport,Solution Business Support,BusinessProcessVersion
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,BusinessProcess
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,Application
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,OrgaUnit
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,LocalComponent
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,Component
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,ICTObject
The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,Providing/Requesting Object Detail,1/N,12/15/2021 15:39,The business process/market product requesting the business service or the application/component/local component providing the business service. This will be the same as the Provider attribute or a local component of the Provider attribute.,6/6/2025 17:04,Object,BusinessService,Application Service,MarketProduct
The business processes assigned to the business process group.,Business Processes,N/N,12/15/2021 15:39,The business processes assigned to the business process group.,6/26/2024 12:59,BusinessProcesses,BusinessProcessGroup,Business Process Group,BusinessProcess
The business processes assigned to the map view's ascendant master plan map that are hidden in the map view.,Hidden Business Processes,N/N,12/15/2021 15:39,The business processes assigned to the map view's ascendant master plan map that are hidden in the map view.,6/26/2024 12:59,HiddenXObjects1,ITMapView,Map View,BusinessProcess
The business processes defined for the X-axis of the IT strategy map. Whether business processes are implemented in the map is determined by the configuration in the XML object ITMapDef.,Business Processes,N/N,12/15/2021 15:39,The business processes defined for the X-axis of the IT strategy map.,6/26/2024 12:59,XObjects1,ITStrategyMap,IT Strategy Map,BusinessProcess
The business processes defined for the X-axis of the master plan map. Whether business processes are implemented in the map is determined by the configuration in the XML object ITMapDef.,Business Processes,N/N,12/15/2021 15:39,The business processes defined for the X-axis of the master plan map.,6/26/2024 12:59,XObjects1,ITMasterPlanMap,Master Plan Map,BusinessProcess
The business processes defined for the X-axis of the solution map. Whether business processes are implemented in the map is determined by the configuration in the XML object ITMapDef.,Business Processes,N/N,12/15/2021 15:39,The business processes defined for the X-axis of the solution map.,6/26/2024 12:59,XObjects1,ITSolutionMap,Solution Map,BusinessProcess
The business processes proposed to be supported by the solution component.,Business Processes,N/N,12/15/2021 15:39,The business processes proposed to be supported by the solution component.,6/26/2024 12:59,Processes,SolutionComponent,Solution Component,BusinessProcess
The business processes supported by the application,Enabled Business Processes,N/N,12/15/2021 15:39,The company's business processes that the application provides functional support to.,6/26/2024 12:59,Processes,Application,Application,BusinessProcess
The business processes supported by the component.,Business Processes,N/N,12/15/2021 15:39,The business processes supported by the component.,6/26/2024 12:59,Processes,Component,Component,BusinessProcess
The business processes supported by the local component.,Enabled Business Processes,N/N,12/15/2021 15:39,The business processes supported by the local component.,6/26/2024 12:59,Processes,ProposedLocalComponent,Proposed Local Component,BusinessProcess
The business processes supported by the local component.,Enabled Business Processes,N/N,12/15/2021 15:39,The business processes supported by the local component.,6/26/2024 12:59,Processes,LocalComponent,Local Component,BusinessProcess
The business processes supported by the solution application.,Business Processes,N/N,12/15/2021 15:39,The business processes supported by the solution application.,6/26/2024 12:59,Processes,SolutionApplication,Solution Application,BusinessProcess
The business processes that are executed by the organization.,Executed Business Processes,N/N,12/15/2021 15:39,The business processes that are executed by the organization.,6/26/2024 12:59,Processes,OrgaUnit,Organization,BusinessProcess
The business processes that are executed by the virtual organization.,Executed Business Processes,N/N,12/15/2021 15:39,The business processes that are executed by the virtual organization.,6/26/2024 12:59,Processes,VirtualOrgaUnit,Virtual Organization,BusinessProcess
